cseq,mapX,mapY,useyn
2349,127.1706732,37.7664661,y
2350,128.3553512,38.2085933,y
2351,128.7482696,37.8486886,y
2352,126.3563628,36.7747128,y
2353,128.4786802,35.0636244,y
2354,128.3935342,34.8344317,y
2355,127.494631,37.5970408,y
2356,126.8607682,37.4592422,y
2357,128.2658526,37.3267138,y
2358,127.2125633,36.6390166,y
2359,127.2957006,38.0143099,y
2360,127.7426435,38.0088734,y
2361,126.380373,35.331738,y
2362,127.124494,36.4759817,y
2363,126.9091064,37.7557045,y
2364,127.5437833,37.8560821,y
2365,128.1654343,37.258394,y
2366,127.5894465,35.227583,y
2367,126.8672217,35.2343087,y
2368,126.872565,36.6453291,y
2369,126.545156,37.2299759,y
2370,127.8822534,36.0818212,y
2371,127.3878958,35.6259446,y
2372,128.2166257,37.8215897,y
2373,127.4831529,36.2231191,y
2374,126.1465239,34.6916236,y
2375,128.0055464,37.8039453,y
2376,128.5748687,36.9802474,y
2377,128.5356046,38.0728584,y
2378,127.5620894,37.9045226,y
2379,127.5092676,37.776761,y
2380,128.0364146,35.8813078,y
2381,126.9211406,37.9508383,y
2382,128.6189414,38.054509,y
2383,127.8901533,35.2454174,y
2384,126.4171552,37.7256645,y
2385,126.8693874,37.9608521,y
2386,128.2805874,37.3402855,y
2387,127.8252917,36.8067614,y
2388,127.4610384,38.1745122,y
2389,129.2390807,36.2774084,y
2390,128.1126749,37.1139299,y
2391,129.0391078,37.1822894,y
2392,127.4163335,37.9689072,y
2393,127.562502,35.0761015,y
2394,128.271058,38.0123208,y
2395,128.5909076,36.6796935,y
2396,126.9087075,37.9150488,y
2397,128.6415014,34.7774188,y
2398,127.2211981,38.2360354,y
2399,126.2053482,36.8992942,y
2400,126.2074126,36.8978235,y
2401,130.8052421,37.5085178,y
2402,126.8720578,37.5699862,y
2403,128.0634619,37.4261787,y
2404,126.5542236,33.4238713,y
2405,126.3608963,36.4232666,y
2406,127.8236808,35.4340358,y
2407,127.5349433,37.6013432,y
2408,128.1783628,37.2550297,y
2409,126.6538247,35.233021,y
2410,128.1751496,37.2521346,y
2411,126.3009741,37.7728422,y
2412,127.0404256,34.9864287,y
2413,127.0591325,38.0085191,y
2414,127.0775474,38.016675,y
2415,127.2526302,37.2606826,y
2416,128.6142847,36.0345423,y
2417,126.6711536,33.4260157,y
2418,127.7724302,35.6751971,y
2419,127.6279683,35.5787042,y
2420,126.4885061,35.0385754,y
2421,126.4522881,37.6113237,y
2422,126.6646731,33.4416045,y
2423,128.0148684,35.508576,y
2424,128.0561628,35.5522695,y
2425,128.0558121,35.5732257,y
2426,128.037055,35.5259528,y
2427,128.0565838,35.5496146,y
2428,128.0481857,34.741466,y
2429,128.5293391,37.9834628,y
2430,128.2601851,34.6445536,y
2431,127.6792312,35.8594771,y
2432,127.9749734,36.5710734,y
2433,126.5604937,37.2678313,y
2434,128.0783544,37.8077091,y
2435,126.530762,36.151053,y
2436,127.9778434,35.5393762,y
2437,126.971325,38.018829,y
2438,127.3941965,34.5797402,y
2439,126.943574,37.780183,y
2440,127.860459,36.9229836,y
2441,126.6081516,33.2404153,y
2442,126.4831782,37.6067072,y
2443,128.1361352,37.2512132,y
2444,127.7553375,37.0289848,y
2445,128.0923604,37.1735519,y
